;strRazaoSocial;strNomeFantasia;NumeroCNPJ;RadicalCNPJ;CNAEPrincipal;DescCNAEPrincipal;RazaoSocialRFB;NomeFantasiaRFB;CodigoFornecedor
105226;TRIMETRA LESTE PRODUTOS E SERVIÇOS EIRELI;INSTITUTO L´OREAL;31479166000166;31479166;;;;;16775
105242;POSTO WK ANÁPOLIS LTDA.;BRASIL PETRO;28547251000100;28547251;;;;;16776
105244;CARREFOUR COMERCIO E INDUSTRIA LTDA;POSTO CARREFOUR;45543915035058;45543915;4731800;COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES;CARREFOUR COMERCIO E INDUSTRIA LTDA;;16777
105245;SUPERMERCADO CARRIJO LTDA;DICASA SUPERMERCADOS;23615383000108;23615383;;;;;16778
105255;IMM ESPORTE E ENTRETENIMENTO LTDA;IMM ESPORTE E ENTRETENIMENTO LTDA;06951432000164;06951432;8230001;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;IMX ESPORTE E ENTRETENIMENTO LTDA.;;16779
105267;CASTOR COMERCIO DE COLCHÕES LTDA;CASTOR COMERCIO DE COLCHÕES LTDA;04016840000101;04016840;3104700;FABRICAÇÃO DE COLCHÕES;CASTOR MINAS RIO - INDUSTRIA E COMERCIO DE COLCHOES LTDA.;;16780
105270;BOUTIQUE LUA E SOL LTDA;BOUTIQUE LUA E SOL LTDA;01059070000188;01059070;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;BOUTIQUE LUA E SOL LTDA - EPP;;16781
105278;LUANE VALADARES GUIMARAES;LUANE VALADARES GUIMARAES;32851276000170;32851276;;;;;16782
105279;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;UNIVERSIDADE ESTACIO DE SÁ;34075739007782;34075739;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;UNIVERSIDADE ESTACIO DE SA;16783
105284;NOVA RIO CANDEIAS( VIAÇÃO CIDADE NOVA LTDA;NOVA RIO CANDEIAS;01956886000104;01956886;4922101;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERMUNICIPAL, EXCETO EM REGIÃO METROPOLITANA;VIACAO CIDADE NOVA LTDA;;16784
105289;SANDRA CRISTINA DOS SANTOS 14586031808;CL MAXIMA SEGURANÇA;24227587000134;24227587;;;;;16785
105294;ASSOC. DA UNIÃO BRAS.DOS ADVENT.DO SÉTIMO DIA;ASSOC. DA UNIÃO BRAS.DOS ADVENT.DO SÉTIMO DIA;30097554000462;30097554;9491000;ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS;ASSOC DA UNIAO ESTE BRAS DOS ADVENTISTAS DO SETIMO DIA;ASSOC MINEIRA CENTRAL DA IGREJA ADVENT. DO SETIMO DIA;16786
105302;BB ADMINISTRADORA DE CARTÕES DE CRÉDITO;BB ADMINISTRADORA DE CARTÕES DE CRÉDITO;31591399000156;31591399;8299799;OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE;BB ADMINISTRADORA DE CARTOES DE CREDITO S A;;16787
105303;ACARTA COMINICACAO LTDA;ACARTA COMINICACAO LTDA;05935302000175;05935302;6204000;CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO;ACARTA COMUNICACAO LTDA - EPP;ACARTA COMUNICACAO LTDA;16788
105308;SOMEK MECANICA ESPECIALIZADA LTDA;SOMEK;20370084000162;20370084;;;;;16789
105312;NOVO RUMO - MOTORES E PECAS LTDA.;NOVORUMO HONDA;05285282000134;05285282;4541203;COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;NOVO RUMO - MOTORES E PECAS LTDA.;NOVORUMO HONDA;16790
105313;NOVORUMO MOTORES E PEÇAS LTDA;NOVO RUMO HONDA;05285282000215;05285282;4541203;COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;NOVO RUMO - MOTORES E PECAS LTDA.;NOVO RUMO HONDA;16791
105317;ASSISTENCIA TÉNICA PEÇAS E ACDESSORIOS;HOSPITAL DO CELULAR;25235289000159;25235289;;;;;16792
105331;TELLMAR EDITORA DE LISTA VIRTUAL LTDA;TELLMAR VIRTUAL;30002027000184;30002027;;;;;16793
105332;MOVEIS G2 MIRASSOL EIRELI;MOVEIS G2 MIRASSOL EIRELI;22672622000107;22672622;;;;;16794
105335;CAIXA ECONÔMICA FEDERAL;AGENCIA POUSO ALEGRE-EST.UNIF.MG;00360305014750;00360305;6423900;CAIXAS ECONÔMICAS;CAIXA ECONOMICA FEDERAL;AGENCIA POUSO ALEGRE-EST.UNIF.MG;16795
105349;MERCADO MASTER RIO DE CAMPO GRANDE LTDA;MULTI MARKET - SANTA CRUZ;68741123000460;68741123;;;;;16796
105354;GILBERTO GALENO DO NASCIMENTO 02685583459;DOIS IRMAOS VIDRACARIA;28882651000171;28882651;;;;;16797
105360;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S/A.;ANHANGUERA EDUCACIONAL LTDA.;04310392004729;04310392;;;;;16798
105364;ELETROMAR MOVEIS E ELETRODOMESTICOS LTDA;ELETROMOVEIS MARTINELLO;32951535002188;32951535;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;ELETROMAR MOVEIS E ELETRODOMESTICOS LTDA;ELETROMOVEIS MARTINELLO;16799
105370;NOVA CASA BAHIA  S.A;CASAS BAHIA;10757237025089;10757237;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;NOVA CASA BAHIA S/A;;16800
105371;TNT CARGAS E ENCOMENDAS EXPRESSAS LTDA;TNT CARGAS E ENCOMENDAS EXPRESSAS LTDA;95591723007555;95591723;4930202;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS S/A;;16801
105400;G S SANTOS - ME;CELULAR E CIA;17987473000127;17987473;4752100;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;G S SANTOS - ME;CELULAR E CIA;16802
105408;MAGAZINE LUIZA S.A;MAGAZINE LUIZA S.A;47960950039680;47960950;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;MAGAZINE LUIZA S/A;MAGAZINE LUIZA;16803
105409;F.TRAIANO ELETRONICA LTDA;F.TRAIANO ELETRONICA LTDA;03599518000181;03599518;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;F.TRAIANO ELETRONICA LTDA ME;BRUTEC ELETRONICA;16804
105411;ESTOFARIA HERVAL;ESTOFARIA HERVAL;10376711000119;10376711;9529105;REPARAÇÃO DE ARTIGOS DO MOBILIÁRIO;ESTOFARIA HERVAL LTDA ME;ESTOFARIA HERVAL;16805
105413;STJ AUTOMOVEIS LTDA - ME;JUNIOR AUTOMOVEIS;17460381000194;17460381;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;STJ AUTOMOVEIS LTDA - ME;JUNIOR AUTOMOVEIS;16806
105421;NOVO MUNDO MÓVEIS E UTILIDADES LTDA;NOVO MUNDO ONLINE;01534080000802;01534080;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;NOVO MUNDO MOVEIS E UTILIDADES LTDA;;16807
105426;COMPACTA CONSTRUTORA LTDA;COMPACTA CONSTRUTORA LTDA;02305944000100;02305944;4313400;OBRAS DE TERRAPLENAGEM;COMPACTA CONSTRUTORA LTDA;COMPACTA CONSTRUTORA;16808
105434;HOTEL POUSADA MEAIPE LTDA;HOTEL POUSADA MEAIPE LTDA;31810914000141;31810914;5510801;HOTÉIS;HOTEL POUSADA MEAIPE LTDA;;16809
105456;CENTRO DE CUL. ANGLO AMERIC. DA REGIÃO DOS LAGOS;CCAA MACAÉ;30582209000252;30582209;8593700;ENSINO DE IDIOMAS;CENTRO CULT ANGLO AMERICANO DA REGIAO DOS LAGOS LTDA - ME;;16810
105483;HYUNDAI CAOA DO BRASIL LTDA;HYUNDAI;03518732000247;03518732;4511103;COMÉRCIO POR ATACADO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS E USADOS;HYUNDAI CAOA DO BRASIL LTDA;HYUNDAI;16811
105484;MONTREAL VEÍCULOS E PEÇAS LTDA;MONTREAL VEÍCULOS E PEÇAS LTDA;16783376000150;16783376;;;;;16812
105508;CONTUDO MATERIAIS PARA CONSTRUCAO EIRELI;PRIMACON;07005296000182;07005296;4744099;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL;PRIMAVERDE MATERIAIS DE CONSTRUCAO LTDA;PRIMACON;16813
105511;BANCO BRADESCO S/A;AGENCIA 0759;60746948098090;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO AG. ITAITUBA EST UNIF;16814
105515;MARCIA REGINA DE OLIVEIRA;MR ATELIER;16662180000107;16662180;1412602;CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS;MARCIA REGINA DE OLIVEIRA 03621477101;MARCIA REGINA ALTA COSTURA;16815
105517;GRUPO ITAUTEC PHILCO;ITAUTEC PHILCO S.A.;54526082000484;54526082;2621300;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA;ITAUTEC S.A. - GRUPO ITAUTEC;;16816
105525;ALESSANDRO BORGINHO;ALESSANDRO BORGINHO;00077567269104;;;;;;16817
105529;JC COMPRA E VENDA DE IMOVEIS LTDA;SCP CENTRINHO DOS INGLESES;27453339000108;27453339;;;;;16818
105535;BANCO SANTANDER S.A;SANTANDER NAVEGANTES;90400888278000;90400888;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO SANTANDER (BRASIL) S.A.;CENTRO-NAVEGANTES-SC;16819
105562;ACUSTIC CENTER JANELAS ANTIRUIDO EIRELI-ME;ACUSTIC CENTER;23568270000107;23568270;;;;;16820
105565;GOLDY COMERCIO DE OCULOS RELOGIOS E ACESSORIOS LTDA;CHILLI BEANS;11230693000125;11230693;4774100;COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA;GOLDY COMERCIO DE OCULOS, RELOGIOS E ACESSORIOS S.A;CHILLI BEANS - MATRIZ;16821
105567;ALO BRASIL CORRETORA DE SEGUROS EIRELI - ME;ALO BRASIL CORRETORA DE SEGUROS;04798962000199;04798962;6629100;ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDÊNCIA COMPLEMENTAR E DOS PLANOS DE SAÚDE NÃO ESPECIFICADAS ANTERIORMENTE;ALO BRASIL CORRETORA DE SEGUROS LTDA-ME;ALO BRASIL CORRETORA DE SEGUROS;16822
105569;ERBS MANUTENÇÃO DE ACUMULADORES LTDA;ERBS MANUTENÇÃO DE ACUMULADORES LTDA;80159171000105;80159171;2722801;FABRICAÇÃO DE BATERIAS E ACUMULADORES PARA VEÍCULOS AUTOMOTORES;INDUSTRIA E COMERCIO DE BATERIAS ERBS LTDA;;16823
105570;IMPACTO BATERIAS;ELIENY OLIVEIRA NUNES PAIM;26005527000100;26005527;;;;;16824
105572;FR COMERCIO DE OTICA LTDA;OTICA MIX;30849441000123;30849441;;;;;16825
105575;SKY AIRLINE S.A.;SKY AIRLINE;20023372000140;20023372;;;;;16826
105579;ENGAGE ELETRO COMERCIO E SOLUCOES EM TECNOLOGIA;ENGAGE ELETRO;24867555000101;24867555;;;;;16827
105593;ALERTA APP SERVICOS DE TECNOLOGIA LTDA  ;ALERTA APP SERVICOS DE TECNOLOGIA LTDA  ;26543022000191;26543022;;;;;16828
105604;HAWAII 03;AUTO POSTO HAWAII 3;10976115000331;10976115;4731800;COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES;AUTO POSTO HAWAII LTDA;POSTO HAWAII III;16829
105625;A CASA DAS TORNEIRAS LTDA;CASADASTORNEIRAS.COM.BR;23791162000190;23791162;;;;;16830
105626;FIABLE COMUNICACOES LTDA        ;FIABLE COMUNICACOES LTDA        ;11234370000100;11234370;6190601;PROVEDORES DE ACESSO ÀS REDES DE COMUNICAÇÕES;DOUGLAS ZUANETI ARRUDA - EPP;;16831
105630;PAULO ALBERTO LINDNER;AUTO SOCORRO SAO CRISTOVAO - PAULO GUINCHO;21205378000100;21205378;;;;;16832
105632;MFG MÁQUINAS E EQUIPAMENTOS AUTOMOTIVOS EIRELLI;MFG MÁQUINAS E EQUIPAMENTOS AUTOMOTIVOS EIRELLI;20546681000103;20546681;;;;;16833
105636;RENOVA EXCLUSIVE DESIGNS COMERCIO DE MOVEIS EIRELI;RENOVA EXCLUSIVE;25315923000163;25315923;;;;;16834
105642;S P INDUSTRIA E COMERCIO DE ESTOFADOS LTDA;PRIMAVERA COLCHÕES;10706632000390;10706632;;;;;16835
105649;KAMPEG PRODUTOS E MATERIAIS LTDA ME;KAMPEG PRODUTOS E MATERIAIS LTDA ME;23596717000143;23596717;;;;;16836
105654;SOCIEDADE EDUCACIONAL UBERABENSE;SOCIEDADE EDUCACIONAL UBERABENSE;25452301000349;25452301;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;SOCIEDADE EDUCACIONAL UBERABENSE;;16837
105661;NOVA CASAS BAHIA S/A;*****;10757237040126;10757237;4713001;LOJAS DE DEPARTAMENTOS OU MAGAZINES;NOVA CASA BAHIA S/A;;16838
105663;VIACAO ITAPEMIRIM S/A;VIACAO ITAPEMIRIM;27175975002908;27175975;4922102;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERESTADUAL;VIACAO ITAPEMIRIM S.A.;ITAPEMIRIM;16839
105664;CECÍLO TRONCOSO SERVIÇOS IMOB E ASSIST. TÉC. RURAL;JULIANA E NOCOLÁS IMOBILIÁRIA;10745383000180;10745383;8211300;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;CECILIO TRONCOSO SERVICOS IMOBILIARIOS E ASSISTENCIA TECNICA RURAL LTDA  - ME;;16840
105666;BM ODONTOLOGIA LTDA;BM ODONTOLOGIA LTDA;17800931000177;17800931;8630504;ATIVIDADE ODONTOLÓGICA COM RECURSOS PARA REALIZAÇÃO DE PROCEDIMENTOS CIRÚRGICOS;BM ODONTOLOGIA LTDA;;16841
105673;FAMOVEIS FABRICA E COMERCIO DE MOVEIS LTDA;FAMOVEIS FABRICA E COMERCIO DE MOVEIS LTDA;02583128000584;02583128;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;FAMOVEIS FABRICA E COMERCIO DE MOVEIS LTDA;;16842
105682;L.C. COSTA CELULARES E ACESSORIOS ME - L C COSTA;L.C. COSTA CELULARES E ACESSORIOS ME - L C COSTA;17460956000179;17460956;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;LUIZ CARLOS COSTA 12787797792;OBARAM FASHION;16843
105694;IRISCAR VEICULOS LTDA;IRISCAR VEICULOS LTDA;04388618000121;04388618;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;IRISCAR VEICULOS LTDA;IRISCAR;16844
105698;BANCO DO BRASIL;BANCO DO BRASIL;00000000545503;00000000;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO DO BRASIL SA;AGUAS LINDAS DE GOIAS (GO);16845
105699;EXCLUSIVE CONSULTORIA ESPECIALIZADA;EXCLUSIVE CONSULTORIA ESPECIALIZADA;29713402000115;29713402;;;;;16846
105701;STEPHANIE DE MELO MARTINS;VIDA THERAPEUTICA;17654109000145;17654109;4773300;COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS;STEPHANIE SILVA DE MELO - ME;S.M.M BIO KENKO;16847
105702;CONSIG CAR SOLUCOES LTDA;CONSIG CAR;28788212000102;28788212;;;;;16848
105703;VIA VAREJO S/A;VIA VAREJO S/A;33041260136732;33041260;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;VIA VAREJO S/A;VIA VAREJO;16849
105714;LUIZ FERNANDO BENFICA 12227839759;KHALEESI;30277642000101;30277642;;;;;16850
105725;REIS COMERCIO DE INFORNATICA EIRELI ME;REIS  COMERCIO DE INFORMATICA;26172820000154;26172820;;;;;16851
105738;NATHALIE FIGUEIREDO DE OLIVEIRA;RN TURISMO;18928286000135;18928286;4789001;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;NATHALIE FIGUEIREDO DE OLIVEIRA 84947535415;TATA MODAS;16852
105767;Sofia Vestuário e Cosméticos Ltda;Use Sofia;08902721000107;08902721;4772500;COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;SOFIA COMERCIO DE COSMETICOS LTDA - ME;SOFIA COSMETICOS;16853
105775;ESPACO DO BANHO E AROMAS LTDA;L''OCCITANE;01512104006006;01512104;4772500;COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;ESPACO DO BANHO E AROMAS LTDA;L'OCCITANE;16854
105778;DISTRIBUIDORA DE AUTO PEÇAS RONDOBRAS LTDA;RONDOBRAS;34748137002194;34748137;4530703;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES;DISTRIBUIDORA DE AUTO PECAS RONDOBRAS LTDA;AUTO PECAS RONDOBRAS;16855
105797;JOÃO FORTES ENGENHARIA S/A;JOÃO FORTES ENGENHARIA S/A;33035536000100;33035536;4120400;CONSTRUÇÃO DE EDIFÍCIOS;JOAO FORTES ENGENHARIA S A;;16856
105799;ZION ESCOLA DE ENTRETENIMENTO TIJUCA LTDA;ESCOLA STUDIO ZION;32385701000182;32385701;;;;;16857
105814;FARMACIA PAGUE MENOS;FARMACIA PAGUE MENOS;06626253030735;06626253;4771701;COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS;EMPREENDIMENTOS PAGUE MENOS S/A;FARMACIA PAGUE MENOS;16858
105815;ERM3 IMOBILIARIA LTDA;ERM3 IMOBILIARIA LTDA;19003063000120;19003063;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS;RM3 IMOBILIARIA LTDA;;16859
105816;RESIDENCIAL VIENA INCORPORAÇÕES SPE 01 LTDA;RESIDENCIAL VIENA INCORPORAÇÕES SPE 01 LTDA;15200930000166;15200930;6822600;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;RESIDENCIAL VIENA INCORPORACOES SPE 01 LTDA;RESIDENCIAL VIENA INCORPORACOES SPE 01;16860
105835;VERSATIL MOVEIS E DECIRAÇÕES;VERSATIL MOVEIS E DECIRAÇÕES;10642333000178;10642333;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;VERSATIL MOVEIS E DECORACOES LTDA;VERSATIL MOVEIS;16861
105843;FLAVIA DIAS DANTAS;TEMAKI PLACE;24859382000171;24859382;;;;;16862
105848;INSTITUTO BRASILEIRO DE MEDICINA DE REABILITAÇÃO;IBMR;42365445000115;42365445;8533300;EDUCAÇÃO SUPERIOR - PÓS-GRADUAÇÃO E EXTENSÃO;INSTITUTO BRASILEIRO DE MEDICINA DE REABILITACAO LTDA;IBMR;16863
105865;EXCLUSIVA COMERCIO DE COSMETICOS LTDA;EXCLUSIVA COMERCIO DE COSMETICOS LTDA;14864147000134;14864147;4772500;COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;EXCLUSIVA COMERCIO DE COSMETICOS LTDA;;16864
105867;LOJAS QUERO-QUERO S.A./QUERO QUERO;LOJAS QUERO-QUERO;96418264011920;96418264;4744099;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL;LOJAS QUERO-QUERO S.A.;LOJAS QUERO-QUERO;16865
105875;TRANS AMERICAN AIRLINES S.A.;TACA PERU;05025040000535;05025040;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;TRANS AMERICAN AIRLINES S.A. - TACA PERU;;16866
105890;E P H - EMPRESA PAULISTA DE HABITACAO LTDA;E P H - EMPRESA PAULISTA DE HABITACAO LTDA;16934829000100;16934829;4110700;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;E P H - EMPRESA PAULISTA DE HABITACAO LTDA;;16867
105893;HENRIQUE AKIO NOMIYAMA DE SOUZA AUTOMOVEIS;RIVAUTO AUTOMOVEIS;12684764000122;12684764;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;HENRIQUE AKIO NOMIYAMA DE SOUZA AUTOMOVEIS ME;DIRECAO DIGITAL;16868
105894;DEBRIAN CLINICA ODONTOLOGICA LTDA;DEBRIAN CLINICA ODONTOLOGICA LTDA;11889695000120;11889695;9602502;OUTRAS ATIVIDADES DE TRATAMENTO DE BELEZA;DEBRIAN CLINICA MEDICA E ODONTOLOGICA LTDA. - EPP;;16869
105899;PORTAL DAS AMERICAS;PORTAL DAS AMERICAS;05802395000160;05802395;8230002;CASAS DE FESTAS E EVENTOS;PORTAL DAS AMERICAS LTDA;PORTAL DAS AMERICAS;16870
105915;MAKRO ATACADISTA S/A;MAKRO ATACADISTA S/A;47427653008957;47427653;4639701;COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL;MAKRO ATACADISTA SOCIEDADE ANONIMA;MAKRO ATACADISTA S.A;16871
105956;BINA CELL;BINA CELL;02788423000305;02788423;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;R. J. OLIVEIRA CELULARES EIRELI;BINA-CELL;16872
105959;MONTREAL  AGENCIA DE TURISMO;MONTREAL  AGENCIA DE TURISMO;15087029000120;15087029;7911200;AGÊNCIAS DE VIAGENS;MONTREAL AGENCIA DE VIAGENS E TURISMO LTDA;MONTREAL AGENCIA DE VIAGENS E TURISMO;16873
105997;HUMBERTO JUNIOR;HUMBERTO JUNIOR;00000021328269;;;;;;16874
105998;SALLES E VALLE EMPREENDIMENTOS IMOBILIARIOS LTDA;SALLES JARDINS;16515254000182;16515254;6810203;;SALLES E VALLE EMPREENDIMENTOS IMOBILIARIOS LTDA;SALLES JARDINS;16875
106001;M B EMPREENDIMENTOS E CONSTRUÇOES LTDA;CONSTRUTORA M B EMPREENDIMENTOS;04078668000102;04078668;4120400;CONSTRUÇÃO DE EDIFÍCIOS;M B EMPREENDIMENTOS E CONSTRUCOES LTDA;M B EMPREENDIMENTOS;16876
106007;EDIANA DE MEDEIROS SILOLVA 81329016491;OTICA IDEALY;22886042000104;22886042;;;;;16877
106016;AVELIS DECORACAO E COMERCIO DE ARTESANATOS LTDA -;AVELIS DECORACAO E COMERCIO DE ARTESANATOS LTDA -;18112502000170;18112502;2399101;DECORAÇÃO, LAPIDAÇÃO, GRAVAÇÃO, VITRIFICAÇÃO E OUTROS TRABALHOS EM CERÂMICA, LOUÇA, VIDRO E CRISTAL;AVELIS DECORACAO E COMERCIO DE ARTESANATOS LTDA - ME;;16878
106017;PATRICIA O. ALVES C. DE SOUZA;DANIEL CAPAS;21072406000150;21072406;;;;;16879
106023;LESSAN AGÊNCIA DE VIAGENS LTDA;LESSAN VIAGENS E TURISMO;16626092000150;16626092;7911200;AGÊNCIAS DE VIAGENS;LESSAN AGENCIA DE VIAGENS LTDA - ME;LESSAN VIAGENS E TURISMO;16880
106031;LOTUS LOGISTICA INTEGRADA LTDA;LOTUS LOGISTICA INTEGRADA LTDA;23349580000203;23349580;;;;;16881
106038;WBER NEMER ALVES;RESOLVE SOLUÇÕES;12364978000111;12364978;4520001;SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES;WBER NEMER ALVES 01562038710;;16882
106054;TOP COPA MOVEIS E UTILIDADES DOMESTICAS LTDA - ME;TOP COPA MOVEIS E UTILIDADES DOMESTICAS LTDA - ME;08207909000127;08207909;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;TOP COPA MOVEIS E UTILIDADES DOMESTICAS LTDA-ME;;16883
106076;R.B.G. MERITI COMERCIO DE VECULOS LTDA - ME;R.J. AUTOMOVEIS;08223964000100;08223964;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;R.B.G. MERITI COMERCIO DE VECULOS LTDA;R.J. AUTOMOVEIS;16884
106077;J J COMERCIO VAREJISTA DE ELETRONICOS E GAMES LTDA;J J COMERCIO VAREJISTA DE ELETRONICOS E GAMES LTDA;17767249000120;17767249;;;;;16885
106080;GE HEALTHCARE DO BRASIL COM E SERV P/ EQUIP. MED.;GE HEALTHCARE DO BRASIL;00029372000493;00029372;4664800;COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO ODONTO-MÉDICO-HOSPITALAR PARTES E PEÇAS;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;;16886
106085;F. LUIZ MACIEL ALVES DE SOUSA;OFERTAS MAGICAS;26061442000131;26061442;;;;;16887
106101;C.V. CLUBE;CABURE VIDA CLUBE DE SEGUROS;03002812000164;03002812;9430800;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS;C.V. CLUBE;CABURE VIDA CLUBE DE SEGUROS;16888
106102;XP TECNOLOGIA LTDA ;XP TECNOLOGIA / NIU FIBRA;15163190000135;15163190;9511800;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS;XP TECNOLOGIA LTDA - ME;XP TECNOLOGIA;16889
106138;PRO MAPA ASSESSORIA  PROPRIEDADE INTELECTUAL LTDA;PRO MAPA ASSESSORIA  PROPRIEDADE INTELECTUAL LTDA;66154477000130;66154477;6911703;AGENTE DE PROPRIEDADE INDUSTRIAL;PRO MAPA ASSESSORIA EM PROPRIEDADE INTELECTUAL LTDA  - ME;;16890
106144;MICRED SERVICOS ADMINISTRATIVOS EIRELI- ME;MICRED;20898970000163;20898970;;;;;16891
106146;GAMA & GAMA CONSTRUCAO CIVIL LTDA;GAMA & GAMA CONSTRUCAO CIVIL LTDA;13881822000170;13881822;4120400;CONSTRUÇÃO DE EDIFÍCIOS;GAMA & GAMA CONSTRUCAO CIVIL LTDA EPP;;16892
106153;W V DIAS COMBUSTIVEIS LTDA;POSTO SANTA MARIA;19507939000175;19507939;;;;;16893
